# Generated by tools/extract-battle-net-index.py from the authenticated source table
# kind	container	destination	archive	archived-path
sound	outer	campaigns/human/victory.wav	install.exe	Speech\humvict.wav
sound	outer	campaigns/orc/victory.wav	install.exe	Speech\orcvict.wav
sound	outer	campaigns/human/level01h-intro1.wav	install.exe	Speech\hum_1_1.wav
sound	outer	campaigns/human/level01h-intro2.wav	install.exe	Speech\hum_1_2.wav
sound	outer	campaigns/human/level02h-intro1.wav	install.exe	Speech\hum_2_1.wav
sound	outer	campaigns/human/level02h-intro2.wav	install.exe	Speech\hum_2_2.wav
sound	outer	campaigns/human/level03h-intro1.wav	install.exe	Speech\hum_3_1.wav
sound	outer	campaigns/human/level03h-intro2.wav	install.exe	Speech\hum_3_2.wav
sound	outer	campaigns/human/level04h-intro1.wav	install.exe	Speech\hum_4_1.wav
sound	outer	campaigns/human/level04h-intro2.wav	install.exe	Speech\hum_4_2.wav
sound	outer	campaigns/human/level05h-intro1.wav	install.exe	Speech\hum_5_1.wav
sound	outer	campaigns/human/level05h-intro2.wav	install.exe	Speech\hum_5_2.wav
sound	outer	campaigns/human/level06h-intro1.wav	install.exe	Speech\hum_6_1.wav
sound	outer	campaigns/human/level07h-intro1.wav	install.exe	Speech\hum_7_1.wav
sound	outer	campaigns/human/level07h-intro2.wav	install.exe	Speech\hum_7_2.wav
sound	outer	campaigns/human/level08h-intro1.wav	install.exe	Speech\hum_8_1.wav
sound	outer	campaigns/human/level08h-intro2.wav	install.exe	Speech\hum_8_2.wav
sound	outer	campaigns/human/level09h-intro1.wav	install.exe	Speech\hum_9_1.wav
sound	outer	campaigns/human/level10h-intro1.wav	install.exe	Speech\hum_10_1.wav
sound	outer	campaigns/human/level11h-intro1.wav	install.exe	Speech\hum_11_1.wav
sound	outer	campaigns/human/level11h-intro2.wav	install.exe	Speech\hum_11_2.wav
sound	outer	campaigns/human/level12h-intro1.wav	install.exe	Speech\hum_12_1.wav
sound	outer	campaigns/human/level13h-intro1.wav	install.exe	Speech\hum_13_1.wav
sound	outer	campaigns/human/level13h-intro2.wav	install.exe	Speech\hum_13_2.wav
sound	outer	campaigns/human/level14h-intro1.wav	install.exe	Speech\hum_14_1.wav
sound	outer	campaigns/orc/level01o-intro1.wav	install.exe	Speech\orc_1_1.wav
sound	outer	campaigns/orc/level02o-intro1.wav	install.exe	Speech\orc_2_1.wav
sound	outer	campaigns/orc/level03o-intro1.wav	install.exe	Speech\orc_3_1.wav
sound	outer	campaigns/orc/level03o-intro2.wav	install.exe	Speech\orc_3_2.wav
sound	outer	campaigns/orc/level04o-intro1.wav	install.exe	Speech\orc_4_1.wav
sound	outer	campaigns/orc/level05o-intro1.wav	install.exe	Speech\orc_5_1.wav
sound	outer	campaigns/orc/level06o-intro1.wav	install.exe	Speech\orc_6_1.wav
sound	outer	campaigns/orc/level07o-intro1.wav	install.exe	Speech\orc_7_1.wav
sound	outer	campaigns/orc/level07o-intro2.wav	install.exe	Speech\orc_7_2.wav
sound	outer	campaigns/orc/level08o-intro1.wav	install.exe	Speech\orc_8_1.wav
sound	outer	campaigns/orc/level09o-intro1.wav	install.exe	Speech\orc_9_1.wav
sound	outer	campaigns/orc/level10o-intro1.wav	install.exe	Speech\orc_10_1.wav
sound	outer	campaigns/orc/level11o-intro1.wav	install.exe	Speech\orc_11_1.wav
sound	outer	campaigns/orc/level11o-intro2.wav	install.exe	Speech\orc_11_2.wav
sound	outer	campaigns/orc/level12o-intro1.wav	install.exe	Speech\orc_12_1.wav
sound	outer	campaigns/orc/level12o-intro2.wav	install.exe	Speech\orc_12_2.wav
sound	outer	campaigns/orc/level13o-intro1.wav	install.exe	Speech\orc_13_1.wav
sound	outer	campaigns/orc/level13o-intro2.wav	install.exe	Speech\orc_13_2.wav
sound	outer	campaigns/orc/level14o-intro1.wav	install.exe	Speech\orc_14_1.wav
sound	outer	campaigns/human-exp/victory-1.wav	install.exe	Speech\war2x\humvict1.wav
sound	outer	campaigns/human-exp/victory-2.wav	install.exe	Speech\war2x\humvict2.wav
sound	outer	campaigns/orc-exp/victory-1.wav	install.exe	Speech\war2x\orcvict1.wav
sound	outer	campaigns/orc-exp/victory-2.wav	install.exe	Speech\war2x\orcvict2.wav
sound	outer	campaigns/orc-exp/victory-3.wav	install.exe	Speech\war2x\orcvict3.wav
sound	outer	campaigns/human-exp/levelx01h-intro1.wav	install.exe	Speech\war2x\hum1_1.wav
sound	outer	campaigns/human-exp/levelx01h-intro2.wav	install.exe	Speech\war2x\hum1_2.wav
sound	outer	campaigns/human-exp/levelx02h-intro1.wav	install.exe	Speech\war2x\hum2_1.wav
sound	outer	campaigns/human-exp/levelx02h-intro2.wav	install.exe	Speech\war2x\hum2_2.wav
sound	outer	campaigns/human-exp/levelx03h-intro1.wav	install.exe	Speech\war2x\hum3_1.wav
