# Generated by tools/extract-asset-index.py from the authenticated source table
# %N references are canonical English identifiers, resolved at generation time
# kind	version	archive	path	arg1	arg2	arg3	arg4
I	0	3000	ui/Credits_background	27	28	0	0
L	0	4000	objectives	54	236	0	0
X	0	4000	credits	58	4	0	0
X	0	4000	human/level01h	65	4	0	0
X	0	4000	orc/level01o	66	4	0	0
X	0	4000	human/level02h	67	4	0	0
X	0	4000	orc/level02o	68	4	0	0
X	0	4000	human/level03h	69	4	0	0
X	0	4000	orc/level03o	70	4	0	0
X	0	4000	human/level04h	71	4	0	0
X	0	4000	orc/level04o	72	4	0	0
X	0	4000	human/level05h	73	4	0	0
X	0	4000	orc/level05o	74	4	0	0
X	0	4000	human/level06h	75	4	0	0
X	0	4000	orc/level06o	76	4	0	0
X	0	4000	human/level07h	77	4	0	0
X	0	4000	orc/level07o	78	4	0	0
X	0	4000	human/level08h	79	4	0	0
X	0	4000	orc/level08o	80	4	0	0
X	0	4000	human/level09h	81	4	0	0
X	0	4000	orc/level09o	82	4	0	0
X	0	4000	human/level10h	83	4	0	0
X	0	4000	orc/level10o	84	4	0	0
X	0	4000	human/level11h	85	4	0	0
X	0	4000	orc/level11o	86	4	0	0
X	0	4000	human/level12h	87	4	0	0
X	0	4000	orc/level12o	88	4	0	0
X	0	4000	human/level13h	89	4	0	0
X	0	4000	orc/level13o	90	4	0	0
X	0	4000	human/level14h	91	4	0	0
X	0	4000	orc/level14o	92	4	0	0
X	2	4000	human-exp/levelx01h	99	4	0	0
X	2	4000	orc-exp/levelx01o	100	4	0	0
X	2	4000	human-exp/levelx02h	101	4	0	0
X	2	4000	orc-exp/levelx02o	102	4	0	0
X	2	4000	human-exp/levelx03h	103	4	0	0
X	2	4000	orc-exp/levelx03o	104	4	0	0
X	2	4000	human-exp/levelx04h	105	4	0	0
X	2	4000	orc-exp/levelx04o	106	4	0	0
X	2	4000	human-exp/levelx05h	107	4	0	0
X	2	4000	orc-exp/levelx05o	108	4	0	0
X	2	4000	human-exp/levelx06h	109	4	0	0
X	2	4000	orc-exp/levelx06o	110	4	0	0
X	2	4000	human-exp/levelx07h	111	4	0	0
X	2	4000	orc-exp/levelx07o	112	4	0	0
X	2	4000	human-exp/levelx08h	113	4	0	0
X	2	4000	orc-exp/levelx08o	114	4	0	0
X	2	4000	human-exp/levelx09h	115	4	0	0
X	2	4000	orc-exp/levelx09o	116	4	0	0
X	2	4000	human-exp/levelx10h	117	4	0	0
X	2	4000	orc-exp/levelx10o	118	4	0	0
X	2	4000	human-exp/levelx11h	119	4	0	0
X	2	4000	orc-exp/levelx11o	120	4	0	0
X	2	4000	human-exp/levelx12h	121	4	0	0
X	2	4000	orc-exp/levelx12o	122	4	0	0
X	2	4000	credits2	123	4	0	0
X	3	4000	human/victory	93	6	0	0
X	3	4000	orc/victory	93	556	0	0
X	2	4000	human/victory	93	10	0	0
X	2	4000	orc/victory	93	560	0	0
X	2	4000	human-exp/victory	93	1086	0	0
X	2	4000	orc-exp/victory	93	1840	0	0
R	0	1000	summer/summer	2	0	0	0
T	0	1000	summer/terrain/summer	2	3	4	5
